id,name
550,Barbarossa
551,Battle Cry
552,Bus
553,Chez Geek
554,La Città
555,The Princes of Florence
556,7 Safari
557,Laguna
558,Der weiße Lotus
559,Metro
561,Flußpiraten
562,Silberzwerg
563,Doolittle & Waite
564,Die Seidenstraße
565,Port Royal
566,Wongar
567,Quartier Latin
568,Rage
569,Maestro
570,Terrain Game
571,Papua
572,Battle Cattle
573,Grand Prix
574,Formel Fun
575,Das Kollier
577,Parts Unknown
578,Protzen
579,Field of Fire
581,Tile Chess
582,Kampf um Rom
585,Kardinal
586,Up Front
587,Sumera
589,Wiz-War
590,Mille Bornes
592,Spades
593,Favoriten
594,Sleuth
595,Escape from Elba
596,Trolley Car
599,Stack 21
600,Die Weinhändler
601,Take Two
602,Career Poker
603,Putsch
604,Verrat!
605,Banana Republic
606,Pico 2
607,Honor of the Samurai
608,Siesta
609,Ferkelei
610,Knights of the Rainbow
611,Ironman Football
612,Kippit
613,Overboard
614,Rubik's Race
615,Cube Fusion
616,Egghead
617,Alles Futsch
618,MLB Showdown
619,The Bottle Imp
620,We the People
621,25 Words or Less
622,Change!
623,Swashbuckler
624,Quoridor
625,Business
626,War and Peace
627,Royal Tank Corps
629,Q-Turn
630,Double Quick
631,Daytona 500
632,Cloud 9
633,Elixir
634,River Dragons
635,Formula Motor Racing
636,Blindside
637,Stock Car Championship Racing Card Game
638,Hera and Zeus
639,American Megafauna
642,Oodles
643,Deadlands: Doomtown Range Wars
644,Shipwrecked
645,Bosworth
646,Pirate's Plunder
647,Mystick Domination
648,Vox Populi
649,Thieves of Bagdad
650,Fairy Meat
651,Zero
652,X-Net
653,Shit!
655,Castle
657,Münchhausen
660,Riffifi
661,Where's Bob's Hat?
663,Siege
664,Shift
665,Quackshot
666,Stump
667,Refugium
668,Sternenhimmel
669,Plague & Pestilence
670,Starship Troopers
671,Bull Run
673,Star Traders
674,J.U.M.P. Into the Unknown
675,4th Dimension
676,Ninja Wars
677,Would You Rather...?
678,X-it!
679,Minion Hunter
680,Dune
681,Quarto
683,Timeline
684,Monopoly: The Card Game
685,Marrakesh
686,Dr. Jekyll & Mr. Hyde
687,Cabale
688,Manchu
689,Dubble Kross
690,Singapore
691,Timbuktu
692,Wizard Kings
695,Fibonacci
696,The Big Idea
697,Conspiracy
698,Gother Than Thou
699,HeroQuest
700,Battle Masters
701,A House Divided
702,Wabbit Wampage
703,Roman Civil War
704,Montgolfiere
705,Caesar in Gallia
706,Frederick the Great
707,When Tigers Fight
708,Holy War: Afghanistan
709,Dragons of Glory
710,Snit's Revenge
711,Elfenroads
712,Blood Bowl (Third Edition)
713,Nuclear War
714,Talisman
715,Escape from Colditz
716,Pizza Party
718,Galaxy: The Dark Ages
719,Tyranno Ex
720,Fast Food Franchise
721,Oregon Trail
722,Over the Edge
723,X-Men Alert
724,Chill: Black Morn Manor
725,Triple Threat Baseball!
727,Chinese Civil War
728,The Sun Never Sets
730,Breakout: Normandy
731,Escape from New York
732,Don't Make Me Laugh
733,Don't Make Me Laugh Jr.
734,Strange But True?
735,Hollywood's Reel Schpeel
736,San Francisco
738,Matheeno
739,Ultimate Soccer of America
740,Rio Grande:  The Battle of Valverde
741,Trajan
742,Germania
744,Wicked Words
745,War of Resistance
746,"The Game of France, 1940: German Blitzkrieg in the West"
747,Bitter Woods
748,Trax
749,Dutch Mountains
750,Shocks & Scares
751,Minos
752,Maul of America
753,Panzerkrieg
754,Domain
755,Thunder at Cassino
756,Black Vienna
757,Lunatix Loop
758,Balmy Balloonists
759,Turning Point: Stalingrad
760,Battle Line
761,The Great Brain Robbery
762,Formula C Minus
764,Mad Gab
765,Space Walk
766,Regatta
767,Keywood
768,Keytown
769,Star Trek Red Alert
770,Loot
771,Kings and Castles
772,Ausbrecher AG
773,Beim Zeus!
774,Buddel Bande
775,Die Tafelrunde
776,Remmi Demmi
778,Auction America: The Trivia Game for Any Collector
780,Big Battle
781,Tabloid Teasers
782,"Win, Place & Show"
783,Letter Head
784,Discretion
785,Dog Eat Dog
786,Maxi Bour$e
787,Palermo
788,Tales of the Arabian Nights
789,Focus
790,Terra Turrium
791,Löwendynastie
792,Megiddo
793,Yahtzee Deluxe Poker
794,Foil
795,Dragonlance
796,Shanghai Trader
797,Flucht aus Mangrovia
798,Ace of Aces: Handy Rotary Series
799,The Hills Rise Wild!
800,Camlyn's Destiny
801,Crimean War Battles
802,Taipei: China Invades
803,Dragonhunt
804,Thunder Road
805,Buffy the Vampire Slayer: The Game
806,West Riding
808,Pipeline
810,Amoeba
811,Rummikub
