1,Game,Category,Players,Difficulty (1-5),Avg. Play Time,Age
329,Machi Koro/City Building,City Building,2 to 4,2,30 minutes,7+
330,Madness,Cards,2 or 4,1,35 minutes,8+
331,Magic Basic Deck,Card/Fantasy,2 to 5,4,15-30 minutes,13+
332,Magic the Gathering Planeswalkers,Thematic Fantasy,2 to 5,2,60 minutes,10+
333,Magic Maze,Cooperative,1 to 8,1.5,15 minutes,8+
334,Mahjong,Abstract,3 to 4,2.5,120 minutes,8+
335,Mall Madness,Classic,2 to 4,1,60 minutes,9+
336,Mancala,Classic,2,2,10 minutes,5+
337,Manila,Chance/Strategy,3 to 5,3,60 minutes,10+
338,Marrakech,Tile Placement/Area Control,2 to 4,1.5,30 minutes,6+
339,"Marry, Date, Dump",Classic/Party,2 players,1.5,30 minutes,16+
340,Martinique,Bluffing/Deduction,2,2,30 minutes,10+
341,Mascarade,Party,2 to 13,1.5,30 minutes,10+
342,Mastermind,Classic,2,1.5,20 minutes,8+
343,Materia,Card Drafting,2 to 6,1,25-60 minutes,12+
344,Medieval Academy,Card Drafting,2 to 5,2,30 minutes,8+
345,Medina,Abstract/Strategy,3 to 4,3,60 minutes,10+
346,Memoir '44,Wargames,2,2.5,30-60 minutes,8+
347,Midnight Taboo (Adult Version),Party/Word,4 to 10,1,20 minutes,12+
348,Mission Red Planet,Area Contol,3 to 5,2.5,60 minutes,10+
349,Monikers,Party/Trivia/Acting,4 to 20,1,60 minutes,18+
350,Monopoly,Classic,2 to 8,2,180 minutes,8+
351,Monopoly Deal,Cards,2 to 5,1,15 minutes,8+
352,Moods,Party,3 to 8,1,20 minutes,18+
353,Mountains of Madness,Dice Rolling/Co-operative,3 to 5,2,60-90 minutes,12+
354,Mr. Jack,Deduction,2,2,30 minutes,9+
355,Mr. Jack Pocket,Strategy,2,2,15 minutes,14+
356,Munchkin Deluxe,Fantasy/Card,3 to 6,2,60 minutes,10+
357,Munchkin: Adventure Time,Fantasy/Card,3 to 6,2,60-90 minutes,10+
358,Mysterium,Deduction/Murder Mystery,2 to 7,2,42 minutes,10+
359,Mystery Date: 2009 Edition,Classic,2 to 4,1,30 minutes,7+
360,Nevermore,Card Drafting,3 to 6,2,45-60 minutes,14+
361,New Bedford: A Game of Historic Whaling & Town Building,Strategy / City Building,1 to 4,2.5,75 minutes,12+
362,New Bedford: Rising Tide,Expansion,1 to 5,2.5,75 minutes,12+
363,New England,Territory Building,3 to 4,2.5,90 minutes,12+
364,New York: 1901,City Building,2 to 4,2,30-60 minutes,8+
365,News @ 11,Party,4 to 11,1,30-45 minutes,7+
366,Nightfall,Card Drafting,2 to 5,2.5,45 minutes,12+
367,Nut So Fast,Dexterity,3 to 6,1,15-20 minutes,8+
368,Nyet!,Hand Management,2 to 5,2,30 minutes,10+
369,Obama Llama,Party/Trivia/Acting,4 to 99,1,30 minutes,18+
370,Ogre: Designer's Edition,Wargame,1 to 3,2.5,45 minutes,10+
371,Ogre: Objective 217,Cards/Wargame,1,2,15-30 minutes,10+
372,Oltre Mare,Strategy,2 to 5,2.5,60 minutes,12+
373,Once Upon a Time,Family/Storytelling,2 to 6,1.5,30 minutes,8+
374,One Deck Dungeon,Co-Op,1 to 2,2,30 minutes,14+
375,One Night Revolution,Bluffing/Cards/Party,3 to 10,2,15 minutes,14+
376,One Night Ultimate Werewolf,Party/Bluffing,3 to 10,1.5,10 minutes,8+
377,Onirim,Set Collection,1 to 2,1.5,15 minutes,8+
378,Onitama,Stategy,2,1,20-30 minutes,10+
379,Operation F.A.U.S.T.,Bluffing/Cards,3 to 8,2,30 minutes,13+
380,Oregon Trail,Cards,1 to 4,1.5,15-30 minutes,8+
381,Orleans,Pool Building,2 to 4,3,90 minutes,12+
382,Outburst!,Classic/Party/Trivia,4 to 20,1,60 minutes,18+
