game.id,details.name,details.yearpublished,game.type,attributes.boardgamecategory,price.prices,details.maxplayers,details.minplayers,details.maxplaytime,details.playingtime,details.minplaytime,details.minage
3365,Gumshoe,1985,boardgame,"Deduction,Murder/Mystery","225.00, 300",6,1,120,120,120,12
3366,Das Zeitungsspiel,1995,boardgame,,,5,2,45,45,45,9
3368,Trödeln,1998,boardgame,"Dice,Racing",,6,2,30,30,30,10
3369,John Carter: Warlord of Mars,1979,boardgame,"Fantasy,Fighting,Novel-based,Science Fiction,Wargame","69, 70",6,2,180,180,180,12
3370,Connections,1991,boardgame,Abstract Strategy,,2,2,10,10,10,10
3371,September,1985,boardgame,Abstract Strategy,,2,2,20,20,20,4
3372,Zamix,1998,boardgame,Card Game,5,8,3,20,20,20,8
3373,San Gimignano,2002,boardgame,Abstract Strategy,,4,2,45,45,45,9
3374,Scrabble Crossword Cubes Game,1964,boardgame,"Dice,Word Game",710,6,1,10,10,10,10
3375,"Kaos, The Game",2002,boardgame,Abstract Strategy,,4,2,45,45,45,10
3376,The Company War,1983,boardgame,"Novel-based,Science Fiction,Wargame",,4,2,60,60,60,10
3377,20 Questions,1988,boardgame,"Deduction,Party Game,Trivia",23,7,2,30,30,30,8
3378,The Inventors,1974,boardgame,,244.9535,4,3,60,60,60,9
3379,The Amazing Spider-Man Game,1993,boardgame,"Children's Game,Comic Book / Strip",,4,2,30,30,30,4
3380,ReBoot Mainframe Game,1995,boardgame,"Children's Game,Movies / TV / Radio theme",,6,2,30,30,30,5
3381,Chancer: The Game,0,boardgame,Movies / TV / Radio theme,,6,2,60,60,60,0
3382,Sharpe's Attack,1996,boardgame,"Movies / TV / Radio theme,Napoleonic",,2,2,45,45,45,8
3383,Die heisse Schlacht am kalten Buffet,1974,boardgame,"Animals,Dice",,6,2,20,20,20,6
3384,Kerrunch,1991,boardgame,"Fantasy,Sports,Wargame",,2,2,90,90,90,8
3385,Stratego: Star Wars,2002,boardgame,"Abstract Strategy,Bluffing,Deduction,Fantasy,Fighting,Memory,Movies / TV / Radio theme,Science Fiction","156.91, 15, 25",2,2,30,30,30,8
3387,Snowboard,2002,boardgame,"Racing,Sports",,6,2,60,60,60,12
3388,Bill: Le jeu,2002,boardgame,"Movies / TV / Radio theme,Puzzle,Real-time,Trivia",,6,2,90,90,90,8
3389,Ivanhoë,2002,boardgame,Medieval,,6,3,45,45,45,7
3390,Friends,1999,boardgame,"Movies / TV / Radio theme,Party Game,Trivia",,10,4,30,30,30,13
3391,Loft Story,2001,boardgame,Party Game,,18,3,30,30,30,12
3392,Outlaw & Posse,1978,boardgame,"Abstract Strategy,American West,Children's Game",,2,2,30,30,30,7
3393,Public Assistance,1980,boardgame,"Economic,Political",174.99,4,2,90,90,90,18
3394,Monopoly: The Simpsons,2001,boardgame,"Children's Game,Economic,Movies / TV / Radio theme,Negotiation","39.99, 99.99, 20, 30, 25",6,2,120,120,120,8
3395,Cross Over,2002,boardgame,Abstract Strategy,,2,2,10,10,10,0
3396,Chiamo!,2002,boardgame,Card Game,5,4,2,45,45,45,8
3397,Kooky Kalooki,2002,boardgame,"Bluffing,Card Game",7,6,3,60,60,60,8
3398,Eye of Horus,2002,boardgame,"Bluffing,Card Game",6,8,2,45,45,45,7
3399,SeaNochle,2002,boardgame,"Bluffing,Card Game",,6,2,90,90,90,8
3401,Undercover,2000,boardgame,Card Game,,4,2,30,30,30,10
3402,Modigliani,1993,boardgame,,,6,2,60,60,60,10
3403,Rise and Fall,1989,boardgame,"Ancient,Wargame",,6,1,180,180,180,12
3404,The Legend of Landlock,1988,boardgame,Abstract Strategy,"39.99, 20",4,2,20,20,20,8
3405,Tin Soldiers,2002,boardgame,Card Game,"9.99, 3.95, 5",5,3,30,30,30,10
3406,Lines of Action,1969,boardgame,Abstract Strategy,,2,2,20,20,20,10
3407,Key Whiz,1990,boardgame,"Abstract Strategy,Card Game",,4,2,20,20,20,10
3408,This Accursed Civil War,2002,boardgame,"Civil War,Pike and Shot,Wargame",65,2,2,240,240,240,12
3409,The Napoleonic Wars,2002,boardgame,"Napoleonic,Wargame",60,5,2,240,240,240,12
3410,Halleluja,2002,boardgame,Abstract Strategy,25,4,2,30,30,30,10
3411,Drive on Paris,2000,boardgame,"Wargame,World War I","45, 50",2,2,300,300,300,12
3412,Brandywine,2000,boardgame,"Age of Reason,American Revolutionary War,Wargame","15, 30",2,2,240,240,240,12
3413,Saratoga,1998,boardgame,"Age of Reason,American Revolutionary War,Wargame","20, 15",2,2,180,180,180,12
3414,Yom Kippur,1995,boardgame,"Modern Warfare,Wargame","32, 15",2,2,240,240,240,12
3415,The Mystic Wood Extension Kit,1982,boardgameexpansion,"Expansion for Base-game,Fantasy",,7,1,90,90,90,10
3416,Fallschirmjaeger,2001,boardgame,"Wargame,World War II",,2,2,360,360,360,12
3417,Tribulation,1974,boardgame,"Math,Real-time",30,6,1,30,30,30,8
3418,Danger Guy,2001,boardgame,Card Game,,4,2,20,20,20,13
3419,Star Trek: The Game,1992,boardgame,"Movies / TV / Radio theme,Science Fiction,Trivia","12, 10, 8",6,2,60,60,60,10
3420,Tip the Cows,1989,boardgame,"Animals,Dice,Party Game",,2,2,10,10,10,6
3421,StreetSoccer,2002,boardgame,"Dice,Sports","27, 30",2,2,30,30,20,8
3422,Fantasy,2001,boardgame,"Card Game,Fantasy",,4,2,20,20,20,8
3423,Equations,1963,boardgame,"Abstract Strategy,Dice,Math",27,6,2,30,30,30,12
3425,Skunk,1953,boardgame,"Animals,Dice",,8,2,30,30,30,6
3426,Give Us A Clue,1986,boardgame,"Action / Dexterity,Movies / TV / Radio theme,Party Game",,8,2,60,60,60,10
3427,Blockhead!,1952,boardgame,"Action / Dexterity,Children's Game","12.99, 10.18, 5",6,1,10,10,10,4
3428,Save The World,1989,boardgame,"Environmental,Trivia",20,6,2,30,30,30,0
3429,The Party Game,1989,boardgame,"Humor,Movies / TV / Radio theme,Political,Trivia",,6,4,30,30,30,12
3430,The Three Stooges Card Game,1998,boardgame,"Card Game,Fighting","3, 5",3,2,30,30,30,10
3431,The Idiot Box,1988,boardgame,"Movies / TV / Radio theme,Trivia",,6,2,30,30,30,8
3432,PSI,1987,boardgame,Party Game,,7,3,30,30,30,15
3433,ESP,1989,boardgame,,,6,3,30,30,30,0
3434,Golden Deuce,2002,boardgame,Card Game,8,4,2,90,90,90,10
3435,Zwergen Ziehen,1997,boardgame,Card Game,,4,2,20,20,20,10
3436,Schatzsucher,2002,boardgame,"Children's Game,Exploration",,6,2,20,20,20,5
3437,Gogol,2002,boardgame,Abstract Strategy,,2,2,20,20,20,10
3438,Shendao,2002,boardgame,Abstract Strategy,,2,2,30,30,30,7
3439,HeroClix,2002,boardgame,"Collectible Components,Comic Book / Strip,Dice,Fighting,Miniatures","3.65, 6, 12, 60",2,2,60,60,60,10
3440,Quip Qubes,1981,boardgame,"Dice,Word Game",3440,2,2,60,60,60,8
3441,Marino,1992,boardgame,"Abstract Strategy,Animals,Bluffing,Children's Game",,4,2,10,10,10,8
3443,Politrics,1996,boardgame,Political,,6,2,60,60,60,0
3444,Royal Comette,1996,boardgame,Card Game,,6,3,30,30,30,10
